customer_id,gender,age,senior_citizen,married,tenure_in_months,contract,payment_method,monthly_charge,total_charges,satisfaction_score,churn_label
0623-IIHUG,Female,77,Yes,No,21,Month-to-Month,Bank Withdrawal,41.9,840.1,1,Yes
9057-MSWCO,Male,71,Yes,Yes,27,Month-to-Month,Credit Card,30.75,805.1,1,Yes
4895-TMWIR,Male,79,Yes,Yes,11,Month-to-Month,Mailed Check,19.95,214.75,1,Yes
0533-BNWKF,Female,66,Yes,Yes,55,Month-to-Month,Bank Withdrawal,85.45,4874.7,1,Yes
0334-GDDSO,Male,77,Yes,No,3,Month-to-Month,Bank Withdrawal,81.35,233.7,1,Yes
5564-NEMQO,Female,80,Yes,No,1,Month-to-Month,Bank Withdrawal,75.3,75.3,2,Yes
6235-VDHOM,Female,77,Yes,No,5,Month-to-Month,Bank Withdrawal,28.45,131.05,2,Yes
5609-CEBID,Female,77,Yes,No,20,Month-to-Month,Bank Withdrawal,94.1,1782.4,1,Yes
5956-VKDTT,Female,72,Yes,Yes,5,Month-to-Month,Bank Withdrawal,74.35,334.8,1,Yes
0257-ZESQC,Female,80,Yes,Yes,27,Month-to-Month,Bank Withdrawal,75.2,1929.35,1,Yes
2865-TCHJW,Female,74,Yes,No,4,Month-to-Month,Bank Withdrawal,89.2,346.2,1,Yes
5192-EBGOV,Female,68,Yes,No,1,Month-to-Month,Bank Withdrawal,85.7,85.7,1,Yes
3419-SNJJD,Female,78,Yes,Yes,65,Month-to-Month,Bank Withdrawal,105.25,6786.4,1,Yes
4554-YGZIH,Male,75,Yes,Yes,49,Month-to-Month,Credit Card,90.05,4547.25,2,Yes
5099-BAILX,Male,77,Yes,Yes,43,Month-to-Month,Bank Withdrawal,110.75,4687.9,2,Yes
4913-EHYUI,Male,80,Yes,Yes,56,One Year,Bank Withdrawal,104.55,5794.65,1,Yes
1626-ERCMM,Male,75,Yes,Yes,20,Month-to-Month,Bank Withdrawal,94.55,1899.65,1,Yes
5644-PDMZC,Female,69,Yes,No,2,Month-to-Month,Bank Withdrawal,89.5,161.5,2,Yes
4160-AMJTL,Female,74,Yes,No,8,Month-to-Month,Bank Withdrawal,19.65,164.3,2,Yes
0823-HSCDJ,Male,76,Yes,No,52,Month-to-Month,Bank Withdrawal,49.15,2550.9,2,Yes
0067-DKWBL,Male,69,Yes,No,2,Month-to-Month,Bank Withdrawal,49.25,91.1,2,Yes
5244-IRFIH,Male,72,Yes,Yes,33,Month-to-Month,Bank Withdrawal,94.5,3105.55,3,Yes
2684-EIWEO,Female,69,Yes,No,30,Month-to-Month,Credit Card,91.7,2758.15,1,Yes
6683-VLCTZ,Male,73,Yes,No,20,Month-to-Month,Bank Withdrawal,98.55,1842.8,3,Yes
0691-IFBQW,Female,65,Yes,No,46,One Year,Bank Withdrawal,110.0,4874.8,1,Yes
3643-AHCFP,Male,74,Yes,Yes,7,Month-to-Month,Bank Withdrawal,95.6,644.35,3,Yes
9231-ZJYAM,Female,65,Yes,No,4,Month-to-Month,Bank Withdrawal,78.85,292.8,3,Yes
0727-BMPLR,Female,66,Yes,No,55,One Year,Bank Withdrawal,100.0,5509.3,3,Yes
0947-MUGVO,Male,71,Yes,Yes,20,Month-to-Month,Bank Withdrawal,73.65,1463.5,1,Yes
0781-LKXBR,Male,65,Yes,No,9,Month-to-Month,Bank Withdrawal,100.5,918.6,1,Yes
1907-UBQFC,Male,69,Yes,No,10,Month-to-Month,Bank Withdrawal,72.85,688.65,1,Yes
6513-EECDB,Male,75,Yes,Yes,1,Month-to-Month,Bank Withdrawal,73.55,73.55,2,Yes
7074-IEVOJ,Female,75,Yes,No,3,Month-to-Month,Bank Withdrawal,79.4,205.05,1,Yes
4750-ZRXIU,Female,68,Yes,No,4,Month-to-Month,Bank Withdrawal,84.6,360.1,1,Yes
7028-DVOIQ,Male,71,Yes,No,35,Month-to-Month,Bank Withdrawal,99.05,3395.8,1,Yes
4208-UFFGW,Male,80,Yes,No,2,Month-to-Month,Credit Card,44.95,85.15,2,Yes
9889-TMAHG,Male,66,Yes,No,8,Month-to-Month,Credit Card,100.3,832.35,1,Yes
8919-FYFQZ,Male,73,Yes,Yes,44,Month-to-Month,Bank Withdrawal,30.35,1359.7,1,Yes
6646-QVXLR,Male,77,Yes,Yes,62,One Year,Bank Withdrawal,103.75,6383.35,1,Yes
9369-XFEHK,Female,76,Yes,Yes,33,Month-to-Month,Bank Withdrawal,80.6,2656.5,2,Yes
1374-DMZUI,Female,65,Yes,No,4,Month-to-Month,Bank Withdrawal,94.3,424.45,2,Yes
1989-PRJHP,Male,75,Yes,Yes,27,Month-to-Month,Bank Withdrawal,75.5,1893.95,1,Yes
4822-RVYBB,Male,75,Yes,No,8,Month-to-Month,Bank Withdrawal,100.6,819.4,1,Yes
4184-TJFAN,Female,68,Yes,Yes,3,Month-to-Month,Mailed Check,88.3,273.75,1,Yes
4145-UQXUQ,Female,71,Yes,No,8,Month-to-Month,Bank Withdrawal,92.1,729.95,1,Yes
1236-WFCDV,Male,74,Yes,No,14,Month-to-Month,Credit Card,90.45,1266.1,3,Yes
1271-SJBGZ,Male,77,Yes,No,12,Month-to-Month,Bank Withdrawal,43.65,526.95,1,Yes
4441-NIHPT,Female,73,Yes,No,13,Month-to-Month,Bank Withdrawal,74.3,940.35,1,Yes
8999-BOHSE,Female,68,Yes,No,11,Month-to-Month,Bank Withdrawal,89.7,1047.7,2,Yes
7029-RPUAV,Male,74,Yes,Yes,17,Month-to-Month,Credit Card,100.45,1622.45,3,Yes
8111-SLLHI,Male,65,Yes,Yes,39,Month-to-Month,Bank Withdrawal,105.65,4284.8,3,Yes
5293-WXJAK,Female,73,Yes,Yes,11,Month-to-Month,Bank Withdrawal,104.05,1133.65,3,Yes
4086-YQSNZ,Female,74,Yes,Yes,3,Month-to-Month,Bank Withdrawal,80.4,224.05,2,Yes
8399-YNDCH,Male,80,Yes,No,21,Month-to-Month,Bank Withdrawal,60.05,1236.15,1,Yes
5565-FILXA,Female,76,Yes,No,16,Month-to-Month,Bank Withdrawal,96.15,1529.2,2,Yes
4187-CINZD,Female,73,Yes,No,46,One Year,Credit Card,95.25,4424.2,2,Yes
6818-WOBHJ,Female,70,Yes,Yes,68,Month-to-Month,Bank Withdrawal,89.6,6127.6,1,Yes
9134-CEQMF,Male,75,Yes,Yes,7,Month-to-Month,Bank Withdrawal,89.5,676.7,2,Yes
8519-IMDHU,Male,74,Yes,Yes,15,Month-to-Month,Bank Withdrawal,85.6,1345.55,1,Yes
3372-KWFBM,Male,76,Yes,No,16,Month-to-Month,Bank Withdrawal,86.6,1281.0,3,Yes
7206-GZCDC,Female,75,Yes,No,1,Month-to-Month,Bank Withdrawal,69.25,69.25,2,Yes
1768-ZAIFU,Female,74,Yes,No,1,Month-to-Month,Bank Withdrawal,25.2,25.2,1,Yes
3793-MMFUH,Female,73,Yes,No,13,Month-to-Month,Bank Withdrawal,95.05,1290.0,1,Yes
6567-HOOPW,Female,69,Yes,No,1,Month-to-Month,Bank Withdrawal,79.2,79.2,3,Yes
8621-MNIHH,Female,75,Yes,Yes,34,Month-to-Month,Bank Withdrawal,94.25,3217.55,1,Yes
5419-CONWX,Female,65,Yes,No,4,Month-to-Month,Credit Card,99.8,442.85,1,Yes
7024-OHCCK,Female,77,Yes,No,2,Month-to-Month,Bank Withdrawal,93.85,170.85,3,Yes
5357-TZHPP,Male,67,Yes,No,9,Month-to-Month,Credit Card,84.4,732.5,2,Yes
0506-LVNGN,Female,78,Yes,No,5,Month-to-Month,Credit Card,75.55,349.65,1,Yes
9809-IMGCQ,Male,65,Yes,No,22,Month-to-Month,Bank Withdrawal,96.7,2082.95,1,Yes
3254-YRILK,Male,74,Yes,No,19,Month-to-Month,Bank Withdrawal,88.2,1775.8,1,Yes
0529-ONKER,Male,70,Yes,No,15,Month-to-Month,Bank Withdrawal,75.65,1146.65,3,Yes
5240-IJOQT,Male,69,Yes,No,1,Month-to-Month,Bank Withdrawal,74.7,74.7,1,Yes
0661-XEYAN,Female,76,Yes,No,1,Month-to-Month,Mailed Check,25.8,25.8,1,Yes
2660-EMUBI,Male,71,Yes,No,10,Month-to-Month,Bank Withdrawal,95.35,898.35,1,Yes
7675-OZCZG,Female,76,Yes,No,3,Month-to-Month,Bank Withdrawal,45.0,127.1,3,Yes
9391-EOYLI,Male,77,Yes,Yes,12,Month-to-Month,Bank Withdrawal,80.45,950.2,2,Yes
2761-OCIAX,Male,74,Yes,No,2,Month-to-Month,Bank Withdrawal,74.7,165.4,2,Yes
3068-OMWZA,Male,77,Yes,No,1,Month-to-Month,Bank Withdrawal,88.8,88.8,1,Yes
4154-AQUGT,Male,76,Yes,Yes,13,Month-to-Month,Bank Withdrawal,89.05,1169.35,1,Yes
8017-LXHFA,Female,77,Yes,No,23,Month-to-Month,Bank Withdrawal,94.75,2293.6,2,Yes
4248-QPAVC,Female,80,Yes,Yes,17,Month-to-Month,Bank Withdrawal,85.35,1463.45,1,Yes
4690-LLKUA,Male,68,Yes,No,17,Month-to-Month,Bank Withdrawal,45.05,770.6,1,Yes
9490-DFPMD,Female,79,Yes,No,42,Month-to-Month,Bank Withdrawal,84.65,3541.35,2,Yes
8580-AECUZ,Male,65,Yes,No,1,Month-to-Month,Bank Withdrawal,79.1,79.1,3,Yes
5047-LHVLY,Male,68,Yes,No,1,Month-to-Month,Mailed Check,50.15,50.15,2,Yes
8375-DKEBR,Female,72,Yes,No,1,Month-to-Month,Bank Withdrawal,69.6,69.6,1,Yes
7279-BUYWN,Female,66,Yes,No,41,Month-to-Month,Bank Withdrawal,113.2,4689.5,1,Yes
7156-MHUGY,Male,68,Yes,No,13,Month-to-Month,Bank Withdrawal,90.5,1201.15,1,Yes
9606-PBKBQ,Male,69,Yes,Yes,32,Month-to-Month,Bank Withdrawal,85.0,2642.05,1,Yes
3536-IQCTX,Male,76,Yes,Yes,32,Month-to-Month,Bank Withdrawal,85.3,2661.1,1,Yes
3132-TVFDZ,Male,70,Yes,Yes,57,Month-to-Month,Bank Withdrawal,44.85,2572.95,2,Yes
8080-DDEMJ,Male,71,Yes,No,1,Month-to-Month,Bank Withdrawal,45.1,45.1,2,Yes
6702-OHFWR,Male,75,Yes,No,1,Month-to-Month,Bank Withdrawal,43.3,43.3,3,Yes
4510-PYUSH,Female,67,Yes,No,38,Month-to-Month,Credit Card,57.15,2250.65,1,Yes
8840-DQLGN,Female,65,Yes,Yes,35,Month-to-Month,Bank Withdrawal,100.5,3653.35,1,Yes
4193-ORFCL,Female,80,Yes,No,1,Month-to-Month,Credit Card,45.1,45.1,1,Yes
7776-QWNFX,Male,71,Yes,Yes,30,Month-to-Month,Bank Withdrawal,50.4,1527.5,3,Yes
6689-TCZHQ,Female,70,Yes,No,5,Month-to-Month,Bank Withdrawal,78.95,378.4,3,Yes
9497-QCMMS,Male,73,Yes,No,1,Month-to-Month,Bank Withdrawal,93.55,93.55,1,Yes
3424-NMNBO,Male,78,Yes,Yes,58,One Year,Bank Withdrawal,108.85,6287.25,1,Yes
4514-GFCFI,Female,76,Yes,No,16,Month-to-Month,Bank Withdrawal,84.75,1350.15,2,Yes
8000-REIQB,Female,73,Yes,No,1,Month-to-Month,Bank Withdrawal,69.95,69.95,2,Yes
4795-KTRTH,Female,68,Yes,Yes,5,Month-to-Month,Bank Withdrawal,81.0,371.65,1,Yes
9961-JBNMK,Male,79,Yes,No,21,Month-to-Month,Bank Withdrawal,96.8,2030.3,1,Yes
6179-GJPSO,Female,67,Yes,No,43,Month-to-Month,Credit Card,108.15,4600.7,1,Yes
8290-YWKHZ,Female,69,Yes,Yes,32,Month-to-Month,Bank Withdrawal,93.2,2931.0,3,Yes
8051-HJRLT,Female,72,Yes,No,1,Month-to-Month,Bank Withdrawal,70.55,70.55,3,Yes
4021-RQSNY,Male,75,Yes,Yes,29,Month-to-Month,Bank Withdrawal,98.5,3004.15,3,Yes
9061-TIHDA,Male,67,Yes,Yes,13,Month-to-Month,Bank Withdrawal,95.25,1233.65,1,Yes
8699-ASUFO,Male,72,Yes,Yes,7,Month-to-Month,Credit Card,74.4,527.9,3,Yes
4695-WJZUE,Female,68,Yes,No,2,Month-to-Month,Bank Withdrawal,88.55,179.25,1,Yes
3988-RQIXO,Female,68,Yes,No,1,Month-to-Month,Bank Withdrawal,91.3,91.3,3,Yes
5931-FLJJF,Male,75,Yes,Yes,7,Month-to-Month,Credit Card,70.1,467.55,2,Yes
3207-OYBWH,Male,74,Yes,Yes,57,Month-to-Month,Bank Withdrawal,95.25,5427.05,2,Yes
7216-EWTRS,Female,78,Yes,Yes,1,Month-to-Month,Bank Withdrawal,100.8,100.8,1,Yes
2528-HFYZX,Male,66,Yes,Yes,17,Month-to-Month,Bank Withdrawal,76.45,1233.4,1,Yes
4140-MUHUG,Female,73,Yes,No,3,Month-to-Month,Bank Withdrawal,86.85,220.95,2,Yes
1587-FKLZB,Male,79,Yes,Yes,66,Month-to-Month,Credit Card,99.5,6822.15,1,Yes
5440-FLBQG,Male,69,Yes,Yes,69,Two Year,Bank Withdrawal,108.4,7318.2,3,Yes
2774-LVQUS,Female,65,Yes,Yes,15,Month-to-Month,Bank Withdrawal,83.05,1258.3,3,Yes
4612-THJBS,Female,68,Yes,No,56,One Year,Bank Withdrawal,104.75,5510.65,3,Yes
4094-NSEDU,Female,79,Yes,No,21,Month-to-Month,Bank Withdrawal,94.25,1973.75,2,Yes
1846-XWOQN,Female,80,Yes,No,1,Month-to-Month,Bank Withdrawal,70.15,70.15,2,Yes
3757-NJYBX,Male,77,Yes,Yes,32,Month-to-Month,Bank Withdrawal,106.35,3520.75,2,Yes
9898-KZQDZ,Female,65,Yes,Yes,40,Month-to-Month,Credit Card,94.55,3640.45,1,Yes
8263-JQAIK,Male,66,Yes,No,2,Month-to-Month,Credit Card,24.45,47.5,3,Yes
2205-YMZZJ,Male,75,Yes,No,7,Month-to-Month,Bank Withdrawal,84.8,546.95,3,Yes
1254-IZEYF,Female,74,Yes,No,31,Month-to-Month,Bank Withdrawal,99.95,3186.65,3,Yes
9221-OTIVJ,Female,80,Yes,No,14,Month-to-Month,Bank Withdrawal,104.85,1531.4,1,Yes
5908-QMGOE,Male,74,Yes,No,15,Month-to-Month,Credit Card,74.2,1133.9,1,Yes
0397-GZBBC,Male,70,Yes,Yes,59,Month-to-Month,Bank Withdrawal,93.85,5574.75,2,Yes
7641-EUYET,Male,76,Yes,Yes,46,Month-to-Month,Bank Withdrawal,100.7,4541.2,1,Yes
8922-LIEGH,Female,72,Yes,No,25,Month-to-Month,Bank Withdrawal,89.7,2187.55,3,Yes
8245-UMPYT,Female,66,Yes,No,16,Month-to-Month,Bank Withdrawal,96.4,1581.2,3,Yes
5186-SAMNZ,Male,75,Yes,No,1,Month-to-Month,Bank Withdrawal,69.5,69.5,2,Yes
5373-SFODM,Male,65,Yes,Yes,36,Month-to-Month,Credit Card,85.25,3132.75,2,Yes
0022-TCJCI,Male,79,Yes,No,45,One Year,Credit Card,62.7,2791.5,1,Yes
5130-IEKQT,Male,73,Yes,No,25,Month-to-Month,Credit Card,105.95,2655.25,2,Yes
3269-ATYWD,Male,79,Yes,No,39,Month-to-Month,Bank Withdrawal,95.65,3759.05,1,Yes
0354-WYROK,Female,70,Yes,Yes,31,Month-to-Month,Bank Withdrawal,98.9,2911.3,2,Yes
7576-OYWBN,Male,71,Yes,No,3,Month-to-Month,Bank Withdrawal,76.05,231.8,1,Yes
5539-TMZLF,Male,69,Yes,No,1,Month-to-Month,Bank Withdrawal,69.75,69.75,1,Yes
3336-JORSO,Female,70,Yes,No,33,Month-to-Month,Bank Withdrawal,110.45,3655.45,1,Yes
6861-XWTWQ,Male,71,Yes,Yes,7,Month-to-Month,Bank Withdrawal,99.25,665.45,2,Yes
4283-FUTGF,Male,67,Yes,No,19,Month-to-Month,Bank Withdrawal,79.85,1471.75,3,Yes
2397-BRLOM,Male,67,Yes,Yes,8,Month-to-Month,Credit Card,80.45,583.45,1,Yes
8510-AWCXC,Female,69,Yes,No,13,Month-to-Month,Bank Withdrawal,100.8,1308.1,1,Yes
8225-BTJAU,Male,75,Yes,No,10,Month-to-Month,Bank Withdrawal,79.25,793.55,1,Yes
1724-BQUHA,Male,67,Yes,No,5,Month-to-Month,Bank Withdrawal,89.5,477.7,2,Yes
4826-XTSOH,Male,66,Yes,Yes,1,Month-to-Month,Bank Withdrawal,86.05,86.05,1,Yes
2408-WITXK,Female,67,Yes,No,10,Month-to-Month,Bank Withdrawal,34.7,329.8,1,Yes
2634-HCZGT,Male,71,Yes,Yes,53,One Year,Bank Withdrawal,60.05,3229.65,1,Yes
7503-QQRVF,Male,74,Yes,Yes,16,Month-to-Month,Credit Card,74.3,1178.25,1,Yes
0709-TVGUR,Female,70,Yes,No,9,Month-to-Month,Bank Withdrawal,74.55,622.9,1,Yes
3001-CBHLQ,Male,76,Yes,Yes,32,Month-to-Month,Bank Withdrawal,104.9,3351.55,1,Yes
4102-OQUPX,Male,67,Yes,Yes,1,Month-to-Month,Bank Withdrawal,74.4,74.4,3,Yes
3999-QGRJH,Male,80,Yes,No,8,Month-to-Month,Bank Withdrawal,69.7,560.85,1,Yes
2454-RPBRZ,Female,67,Yes,Yes,12,Month-to-Month,Bank Withdrawal,98.1,1060.2,3,Yes
2265-CYWIV,Female,68,Yes,Yes,4,Month-to-Month,Bank Withdrawal,99.6,347.65,1,Yes
4550-VBOFE,Male,69,Yes,Yes,70,Month-to-Month,Bank Withdrawal,102.95,7101.5,1,Yes
7409-KIUTL,Female,80,Yes,No,1,Month-to-Month,Bank Withdrawal,71.0,71.0,3,Yes
1732-VHUBQ,Female,73,Yes,Yes,47,Month-to-Month,Bank Withdrawal,70.55,3309.25,3,Yes
0679-IDSTG,Female,73,Yes,Yes,1,Month-to-Month,Bank Withdrawal,69.25,69.25,1,Yes
8802-UNOJF,Male,65,Yes,No,12,Month-to-Month,Credit Card,83.8,1029.75,1,Yes
6313-GIDIT,Male,73,Yes,No,53,Month-to-Month,Bank Withdrawal,54.45,2854.55,2,Yes
2845-AFFTX,Male,78,Yes,Yes,41,Month-to-Month,Bank Withdrawal,99.8,4259.3,1,Yes
2815-CPTUL,Male,68,Yes,No,5,Month-to-Month,Credit Card,70.25,331.9,2,Yes
1891-FZYSA,Male,65,Yes,Yes,69,Month-to-Month,Bank Withdrawal,89.95,6143.15,1,Yes
9685-WKZGT,Male,67,Yes,No,14,Month-to-Month,Bank Withdrawal,74.95,1036.75,3,Yes
6022-UGGSO,Female,70,Yes,No,32,Month-to-Month,Bank Withdrawal,74.4,2276.95,1,Yes
3923-CSIHK,Female,69,Yes,Yes,50,Month-to-Month,Bank Withdrawal,71.05,3444.85,3,Yes
3677-IYRBF,Female,73,Yes,No,2,Month-to-Month,Bank Withdrawal,30.4,78.65,1,Yes
8118-LSUEL,Male,74,Yes,No,23,Month-to-Month,Bank Withdrawal,106.4,2483.5,1,Yes
5277-ZLOOR,Female,78,Yes,No,2,Month-to-Month,Bank Withdrawal,85.55,187.45,3,Yes
4248-HCETZ,Male,77,Yes,Yes,30,Month-to-Month,Credit Card,79.65,2365.15,3,Yes
9174-FKWZE,Female,70,Yes,No,1,Month-to-Month,Bank Withdrawal,19.45,19.45,1,Yes
5307-DZCVC,Female,78,Yes,Yes,32,Month-to-Month,Credit Card,85.95,2628.6,3,Yes
8679-JOEVF,Female,75,Yes,No,16,Month-to-Month,Bank Withdrawal,59.4,1023.9,1,Yes
4803-AXVYP,Female,75,Yes,No,38,Month-to-Month,Bank Withdrawal,99.55,3734.25,1,Yes
5649-ANRML,Male,76,Yes,No,2,Month-to-Month,Credit Card,95.1,180.25,3,Yes
7395-IGJOS,Male,70,Yes,Yes,17,Month-to-Month,Bank Withdrawal,81.5,1329.2,2,Yes
7890-VYYWG,Male,67,Yes,Yes,3,Month-to-Month,Credit Card,36.45,93.7,1,Yes
9907-SWKKF,Female,69,Yes,No,1,Month-to-Month,Credit Card,25.05,25.05,1,Yes
6397-JNZZG,Female,70,Yes,Yes,43,Month-to-Month,Credit Card,55.55,2342.2,1,Yes
7779-LGOVN,Male,74,Yes,Yes,10,Month-to-Month,Bank Withdrawal,86.65,856.65,1,Yes
9710-ZUSHQ,Female,77,Yes,No,37,Month-to-Month,Bank Withdrawal,106.75,4056.75,1,Yes
3902-FOIGH,Male,66,Yes,Yes,12,Month-to-Month,Bank Withdrawal,101.35,1218.55,1,Yes
3318-OSATS,Male,70,Yes,No,35,Month-to-Month,Bank Withdrawal,95.45,3474.05,2,Yes
2636-ALXXZ,Female,68,Yes,No,1,Month-to-Month,Bank Withdrawal,69.6,69.6,2,Yes
9885-CSMWE,Female,65,Yes,No,1,Month-to-Month,Bank Withdrawal,78.45,78.45,1,Yes
8058-JMEQO,Female,76,Yes,No,9,Month-to-Month,Bank Withdrawal,84.45,762.5,3,Yes
7657-DYEPJ,Male,73,Yes,No,38,One Year,Credit Card,70.15,2497.35,3,Yes
8276-MQBYC,Male,70,Yes,No,51,Month-to-Month,Bank Withdrawal,97.8,4913.3,2,Yes
6015-VVHHE,Female,68,Yes,No,5,Month-to-Month,Credit Card,83.15,446.05,3,Yes
2516-VQRRV,Female,77,Yes,No,2,Month-to-Month,Credit Card,75.45,158.4,3,Yes
7580-UGXNC,Female,73,Yes,No,2,Month-to-Month,Credit Card,54.85,104.2,1,Yes
5178-LMXOP,Male,71,Yes,Yes,1,Month-to-Month,Bank Withdrawal,95.1,95.1,1,Yes
7056-IMHCC,Male,69,Yes,Yes,53,Month-to-Month,Bank Withdrawal,101.9,5549.4,1,Yes
8749-JMNKX,Male,80,Yes,Yes,51,Month-to-Month,Bank Withdrawal,93.8,4750.95,1,Yes
0917-EZOLA,Male,66,Yes,Yes,72,Two Year,Bank Withdrawal,104.15,7689.95,3,Yes
8414-MYSHR,Male,79,Yes,No,5,Month-to-Month,Bank Withdrawal,91.4,449.75,1,Yes
4988-IQIGL,Male,80,Yes,No,1,Month-to-Month,Bank Withdrawal,75.35,75.35,3,Yes
4706-AXVKM,Female,78,Yes,No,11,Month-to-Month,Credit Card,84.8,906.85,2,Yes
5889-JTMUL,Female,67,Yes,Yes,50,Month-to-Month,Bank Withdrawal,95.05,4888.7,3,Yes
9026-RNUJS,Male,73,Yes,No,5,Month-to-Month,Bank Withdrawal,50.35,237.25,1,Yes
1624-NALOJ,Male,75,Yes,No,5,Month-to-Month,Bank Withdrawal,89.8,502.6,1,Yes
6210-KBBPI,Male,67,Yes,No,9,Month-to-Month,Credit Card,99.45,919.4,1,Yes
2260-USTRB,Female,75,Yes,No,2,Month-to-Month,Bank Withdrawal,70.2,115.95,1,Yes
8623-TMRBY,Male,80,Yes,Yes,51,Month-to-Month,Bank Withdrawal,84.2,4146.05,2,Yes
6900-PXRMS,Male,72,Yes,Yes,26,Month-to-Month,Bank Withdrawal,105.75,2710.25,1,Yes
3346-BRMIS,Female,70,Yes,Yes,18,Month-to-Month,Bank Withdrawal,48.35,810.7,2,Yes
2722-JMONI,Female,73,Yes,Yes,1,Month-to-Month,Bank Withdrawal,49.55,49.55,1,Yes
7579-OOPEC,Female,75,Yes,Yes,2,Month-to-Month,Credit Card,50.15,115.1,1,Yes
1771-OADNZ,Male,70,Yes,Yes,29,Month-to-Month,Bank Withdrawal,95.9,2745.2,3,Yes
0612-RTZZA,Female,77,Yes,No,1,Month-to-Month,Bank Withdrawal,25.25,25.25,2,Yes
4433-JCGCG,Male,80,Yes,Yes,46,Month-to-Month,Bank Withdrawal,101.0,4680.05,1,Yes
9488-HGMJH,Female,78,Yes,No,1,Month-to-Month,Bank Withdrawal,71.15,71.15,3,Yes
4818-QIUFN,Female,69,Yes,No,20,Month-to-Month,Bank Withdrawal,79.15,1520.9,1,Yes
6961-VCPMC,Male,71,Yes,Yes,46,Month-to-Month,Bank Withdrawal,80.4,3605.2,3,Yes
4424-TKOPW,Male,70,Yes,No,2,Month-to-Month,Bank Withdrawal,93.85,196.75,1,Yes
4201-JMNGR,Female,66,Yes,No,1,Month-to-Month,Bank Withdrawal,55.8,55.8,1,Yes
1866-RZZQS,Male,77,Yes,No,41,Month-to-Month,Bank Withdrawal,98.4,4187.75,1,Yes
8631-NBHFZ,Male,71,Yes,Yes,66,Two Year,Credit Card,79.4,5154.6,1,Yes
4958-XCBDQ,Male,68,Yes,No,35,Month-to-Month,Bank Withdrawal,101.4,3496.3,3,Yes
8337-UPOAQ,Male,71,Yes,Yes,10,Month-to-Month,Bank Withdrawal,89.8,914.3,2,Yes
6712-OAWRH,Female,79,Yes,No,26,Month-to-Month,Bank Withdrawal,91.25,2351.8,3,Yes
5914-DVBWJ,Female,80,Yes,No,18,Month-to-Month,Bank Withdrawal,85.45,1505.85,1,Yes
8644-XLFBW,Male,65,Yes,No,1,Month-to-Month,Bank Withdrawal,71.65,71.65,2,Yes
1833-VGRUM,Female,70,Yes,No,1,Month-to-Month,Bank Withdrawal,74.2,74.2,2,Yes
8374-XGEJJ,Male,68,Yes,Yes,43,Month-to-Month,Bank Withdrawal,101.0,4388.4,1,Yes
